Name,Vicinity,lat,long,Tag1,Tag2,Tag3,Tag4,Tag5
AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,Food,,,,
ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,Food,,,,
JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,Food,,,,
MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,Food,,,,
ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,Food,,,,
PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,Food,,,,
WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,Food,,,,
